Id,Name,Lat,Lon,Type,Icon,City,District
193958,宜祿泰居家長照,23.112376,120.310835,森林,🌲,臺南市,蓮潭里
193961,新坡國小活動中心,25.014199,121.136937,圖書館,📚,桃園市,新坡里
193962,路邊點,24.978377,121.458081,水邊,🌊,新北市,土城區
193963,路邊廚師純點,24.978531,121.4595,餐廳,🍴,新北市,土城區
193964,洗衣店,22.666757,120.318122,自助洗衣店&乾洗店,🧺,高雄市,三民區
193965,歸仁機場,22.981668,120.279843,機場,✈️,臺南市,七甲里
193966,鳳鳴機器人公園,24.965622,121.334109,公園,🌳,新北市,鶯歌區
193967,永漢路興業路交叉路口,23.080442,120.300046,服裝店,👕,臺南市,港墘里
193968,三民街112巷,23.082221,120.300722,公園,🌳,臺南市,港墘里
193969,大草坪的大石門餐廳,24.835399,121.238949,主題樂園,🎡,桃園市,佳安里
193970,立賢路85號,25.114543,121.502968,公車站,🚌,臺北市,北投區
193971,社子大橋橋頭,25.112266,121.49926,橋樑,🌉,臺北市,北投區
193972,河濱自行車道涼亭,25.114532,121.493232,水邊,🌊,臺北市,北投區
193973,河濱自行車道涼亭,25.115045,121.485354,水邊,🌊,臺北市,北投區
193974,河濱自行車道,25.114005,121.481506,水邊,🌊,臺北市,北投區
193975,河濱自行車道,25.113953,121.476493,公園,🌳,臺北市,北投區
193976,同心公園內壽司點,23.702616,120.434649,壽司,🍣,雲林縣,安慶里
193977,中華賓士大樓車道出口,25.123898,121.468609,橋樑,🌉,臺北市,北投區
193978,北投好市多汽車出口,25.12632,121.47062,咖啡杯,☕,臺北市,北投區
193979,彰化師大校徽,24.082405,120.560733,大學&學院,🎓,彰化縣,復興里
193981,溪州大橋附近,23.796903,120.471952,橋樑,🌉,雲林縣,大園里
193982,許厝公車站牌,24.846653,120.957149,公車站,🚌,新竹縣,竹北市
193983,溪洲郵局附近,23.85039,120.49476,郵局,📮,彰化縣,溪州村
193984,竹義里休閒步道,24.838504,121.002958,森林,🌲,新竹縣,竹北市
193985,WIN企業總部,25.030453,121.428263,服裝店,👕,新北市,新莊區
193986,自由路電器行,23.705039,120.546533,路邊,🛣️,雲林縣,公正里
193987,大學路7-11,23.697918,120.542709,便利店,🏪,雲林縣,社口里
193988,溪湖湖西郵局彰化26支局,23.960414,120.47556,郵局,📮,彰化縣,湖西里
193989,八德東路243號,24.268074,120.537063,公車站,🚌,臺中市,清水區
193990,火燒店車站,23.284297,120.302701,車站,🚉,臺南市,士林里
193991,曾文農工,23.187185,120.262366,大學&學院,🎓,臺南市,南勢里
193992,松玫冰果室,23.17393,120.20753,藥局,💊,臺南市,子龍里
193994,7-ELEVEN 新墘門市,23.082635,120.299038,便利店,🏪,臺南市,港墘里
193995,隱樂燒烤,23.083799,120.301424,公車站,🚌,臺南市,港墘里
193996,晟瑞國際企業有限公司,23.086315,120.304147,水邊,🌊,臺南市,港墘里
193998,台1線&南139線交叉路口,23.090858,120.307169,水邊,🌊,臺南市,大營里
193999,薇格造型沙龍,23.074831,120.297615,服裝店,👕,臺南市,港墘里
194000,目加溜灣大道旁小路,23.119465,120.313074,森林,🌲,臺南市,小新里
194002,東方髮粧,24.837993,121.003734,美容院,💅,新竹縣,竹北市
194003,北投子地界碑,25.178737,121.467998,森林,🌲,新北市,淡水區
194004,岡山金屬股份有限公司,22.796133,120.282602,藥局,💊,高雄市,岡山區
194005,巷弄內美容院純點,22.765921,121.137786,美容院,💅,臺東縣,馬蘭里
194006,佳欣洗衣店,24.942827,121.226248,自助洗衣店&乾洗店,🧺,桃園市,振興里
194007,依視界動物醫院,23.023317,120.232983,公園,🌳,臺南市,東橋里
194008,陸軍專科學校_校徽胸針,24.936561,121.258743,大學&學院,🎓,桃園市,中堅里
194009,特斯拉,25.002979,121.488345,公車站,🚌,新北市,中和區
194010,九德街超市皮,24.111819,120.641459,超市,🛒,臺中市,烏日區
194011,七股 雅凡書坊旁路邊,23.19855,120.157111,郵局,📮,臺南市,西甲里
194013,總統府附近,25.040631,121.512902,路邊,🛣️,臺北市,中正區
194015,五常國小門口,25.064529,121.542604,路邊,🛣️,臺北市,中山區
194016,台灣水泥門口,25.065951,121.287946,公車站,🚌,桃園市,內厝里
194020,新強公園,22.611752,120.341382,公車站,🚌,高雄市,鳳山區
194023,中山西路,22.627706,120.349588,拉麵店,🍜,高雄市,鳳山區
194024,旗山區公所,22.888511,120.483344,拉麵店,🍜,高雄市,旗山區
194027,球場路,22.662158,120.338485,森林,🌲,高雄市,鳥松區
194028,過勇路296巷,22.59166,120.363936,森林,🌲,高雄市,鳳山區
194034,中山西路387巷,22.627525,120.34488,美容院,💅,高雄市,鳳山區
194041,瑞興街,22.608947,120.33143,甜點店,🍰,高雄市,前鎮區
194056,五福二路,22.625286,120.303736,文具店,✏️,高雄市,新興區
194061,曹公圖書館,22.627289,120.357503,圖書館,📚,高雄市,鳳山區
194065,環球路,22.882419,120.260736,大學&學院,🎓,高雄市,路竹區
194067,三商街,22.600111,120.335496,咖啡杯,☕,高雄市,鳳山區
194069,大學二十八街,22.73018,120.290565,餐廳,🍴,高雄市,楠梓區
194070,新富路,22.617741,120.350938,義式餐廳,🍝,高雄市,鳳山區
194071,瑞竹兒童公園,22.626353,120.369079,拉麵店,🍜,高雄市,鳳山區
194073,協和兒童公園,22.625555,120.353265,拉麵店,🍜,高雄市,鳳山區
194074,八德路433巷,22.641718,120.354774,拉麵店,🍜,高雄市,鳳山區
194076,大昌一路,22.65592,120.324443,拉麵店,🍜,高雄市,三民區
194079,右昌聯合醫院,22.713343,120.290856,餐廳,🍴,高雄市,楠梓區
194088,建榮路,22.659774,120.277062,水邊,🌊,高雄市,鼓山區
194089,民昌街287巷,22.721382,120.286246,水邊,🌊,高雄市,楠梓區
194105,河邊街,22.640082,120.281652,車站,🚉,高雄市,鼓山區
194110,星光廣場,22.61433,120.346613,公園,🌳,高雄市,鳳山區
194114,協善心德堂,22.595012,120.328862,森林,🌲,高雄市,鳳山區
194117,大埤路,22.650845,120.356087,公園,🌳,高雄市,鳥松區
194118,立民公園,22.743396,120.337481,公園,🌳,高雄市,楠梓區
194122,龍鳳宮,22.624159,120.274772,森林,🌲,高雄市,鼓山區
194124,基督教鳳山長老教會,22.627904,120.361427,拉麵店,🍜,高雄市,鳳山區
194127,文中街,22.641355,120.355209,五金行,🔧,高雄市,鳳山區
194128,中華路39巷,22.728315,120.349178,藥局,💊,高雄市,大社區
194134,鳳東里,22.628433,120.381983,便利店,🏪,高雄市,鳳山區
194135,海洋一路,22.610038,120.345377,便利店,🏪,高雄市,鳳山區
194145,伊犁街,22.65379,120.277194,便利店,🏪,高雄市,鼓山區
194149,高雄長庚紀念醫院,22.649764,120.354333,郵局,📮,高雄市,鳥松區
194154,正修科技大學,22.650182,120.351173,大學&學院,🎓,高雄市,鳥松區
194236,大學二十二街,22.728256,120.280209,文具店,✏️,高雄市,楠梓區
194804,圖書館,23.755006,120.498927,圖書館,📚,雲林縣,莿桐村
194805,芳苑海邊,23.928406,120.312752,海灘,🏖️,彰化縣,芳中村
194806,北埔郵局,24.041203,121.603589,郵局,📮,花蓮縣,大漢村
194807,正義浸信會,25.039924,121.542024,圖書館,📚,臺北市,大安區
194808,浩鈞有限公司,25.029558,121.466264,路邊,🛣️,新北市,板橋區
194809,泰安停車場,22.902776,120.54225,超市,🛒,高雄市,美濃區
194810,全聯 苓雅中正一店,22.630391,120.325561,咖啡杯,☕,高雄市,苓雅區
194811,天保街150巷,24.175507,120.614756,公車站,🚌,臺中市,西屯區
194812,清和公園純點,24.977402,121.461603,公園,🌳,新北市,土城區
194813,全家 龜山善捷店,25.045389,121.388186,便利店,🏪,桃園市,樂善里
194814,龜山文化公園,25.057245,121.371208,公園,🌳,桃園市,文化里
194815,南進路郵局郵票,22.551562,120.543226,郵局,📮,屏東縣,三共里
194816,路竹車站後方(大同路),22.853538,120.267416,車站,🚉,高雄市,路竹區
194817,高雄市九孔橋,22.825631,120.289819,橋樑,🌉,高雄市,路竹區
194818,全御禾牛角撥經-新竹竹北店,24.806757,121.027027,公園,🌳,新竹縣,竹北市
194819,學甲華宗公園,23.228723,120.181477,公園,🌳,臺南市,仁得里
194820,學甲東寮公車站,23.22493,120.183719,公車站,🚌,臺南市,新榮里
194821,綠的家具旁,24.0674,120.525532,咖啡杯,☕,彰化縣,向陽里
194822,禎祥日照旁,24.113578,120.503832,拉麵店,🍜,彰化縣,竹營里
194823,楓康超市員林莒光店,23.965725,120.566703,超市,🛒,彰化縣,南平里
194824,郭媽媽小吃附近,23.473537,120.460211,餐廳,🍴,嘉義市,東區
194825,青年新城社區管理室旁,25.027104,121.504321,拉麵店,🍜,臺北市,萬華區
194828,大全聯台東,22.772655,121.106038,超市,🛒,臺東縣,豐年里
194829,七星潭大道,24.068147,121.611822,水邊,🌊,花蓮縣,康樂村
194830,七星廣場停車場前,24.031796,121.626542,公園,🌳,花蓮縣,大漢村
194831,三元花園韓式餐廳,24.183018,120.598504,韓國餐廳,🥘,臺中市,西屯區
194832,高雄台船郵局,22.5541,120.345987,郵局,📮,高雄市,小港區
194833,中鋼路,22.552631,120.34914,郵局,📮,高雄市,小港區
194834,旗南二路,22.841756,120.46379,郵局,📮,高雄市,旗山區
194835,新昌街,22.710419,120.299023,郵局,📮,高雄市,楠梓區
194836,前鎮街,22.589594,120.306796,郵局,📮,高雄市,前鎮區
194837,郵局,22.938206,120.462088,郵局,📮,高雄市,内埔
194838,興北巷,22.822728,120.30351,郵局,📮,高雄市,岡山區
194839,建國路一段522巷,22.63597,120.365133,郵局,📮,高雄市,鳳山區
194840,鼓山二路182巷,22.638338,120.2808,郵局,📮,高雄市,鼓山區
194841,中華一路,22.668624,120.285977,郵局,📮,高雄市,鼓山區
194907,新興街,22.887648,120.53159,郵局,📮,高雄市,美濃區
194908,永工二路,22.80863,120.252565,郵局,📮,高雄市,永安區
194909,大寮路779巷,22.592298,120.41619,郵局,📮,高雄市,大寮區
194910,郵局,23.107136,120.699938,郵局,📮,高雄市,六龜區
194911,銀川街,22.64898,120.280203,郵局,📮,高雄市,鼓山區
194912,美術北三路,22.663962,120.29205,郵局,📮,高雄市,鼓山區
194913,和平路三段,22.903755,120.187521,郵局,📮,高雄市,茄萣區
194916,富貴路53巷28弄,22.80548,120.302644,郵局,📮,高雄市,岡山區
194917,松興路69巷,22.573941,120.37223,郵局,📮,高雄市,小港區
194918,中山路,22.77929,120.248726,郵局,📮,高雄市,彌陀區
194919,加昌路415巷,22.718375,120.30944,郵局,📮,高雄市,楠梓區
194920,經四路,22.71987,120.304096,郵局,📮,高雄市,楠梓區
194921,廣東二街112巷,22.618406,120.321247,郵局,📮,高雄市,苓雅區
194922,中崙二路574巷,22.601416,120.350743,郵局,📮,高雄市,鳳山區
194923,茂林巷,22.88651,120.665405,郵局,📮,高雄市,茂林區
194929,東一街,22.601884,120.291757,郵局,📮,高雄市,前鎮區
194939,大明路33巷9弄,22.607415,120.341,郵局,📮,高雄市,鳳山區
194940,大中二路,22.678014,120.317053,郵局,📮,高雄市,左營區
194941,大社路2巷,22.86087,120.261905,郵局,📮,高雄市,路竹區
194942,中正路一段513巷17弄,22.908288,120.215578,郵局,📮,高雄市,湖內區
194944,信義街,22.880792,120.49259,郵局,📮,高雄市,旗山區
194947,大昌一路240巷,22.65707,120.322487,郵局,📮,高雄市,三民區
194951,鳳松路27巷,22.633104,120.360373,郵局,📮,高雄市,鳳山區
194952,四維四路,22.614885,120.29775,郵局,📮,高雄市,苓雅區
194953,後龍巷,22.754422,120.35713,郵局,📮,高雄市,燕巢區
194962,四維街,22.994799,120.636272,郵局,📮,高雄市,六龜區
194966,中興西路42巷,22.691904,120.4314,郵局,📮,高雄市,大樹區
194967,郵局,22.534711,120.401899,郵局,📮,高雄市,林園區
194972,九如二路612巷,22.642749,120.294424,拉麵店,🍜,高雄市,三民區
194973,鳳源路,22.525287,120.345713,藥局,💊,高雄市,小港區
194974,衙慶一街,22.58357,120.323443,橋樑,🌉,高雄市,前鎮區
195125,崇蘭國小門口,22.684473,120.476736,超市,🛒,屏東縣,崇蘭
195126,中正路284巷與經國路二段60巷交叉口,24.813195,120.964989,郵局,📮,新竹市,北區
195127,老地方美食,23.455344,120.288652,餐廳,🍴,嘉義縣,大葛里
195128,神州檜木中埔店,23.445122,120.498235,森林,🌲,嘉義縣,金蘭村
195129,青島餃子,22.683061,120.337688,餐廳,🍴,高雄市,仁武區
195130,國一水上交流道,23.448345,120.369773,森林,🌲,嘉義縣,大堀村
195131,臺北松山機場,25.067658,121.553418,機場,✈️,臺北市,松山區
195132,富暘羽球運動中心,25.040442,121.279989,便利店,🏪,桃園市,蘆興里
195133,文心森林公園,24.14559,120.644724,公園,🌳,臺中市,南屯區
195135,新和國小,25.026561,121.503135,森林,🌲,臺北市,萬華區
195136,六甲區公所,23.231604,120.347504,公車站,🚌,臺南市,二甲里
195236,內埔建興郵局,22.65491,120.57534,郵局,📮,屏東縣,建興村
195237,佳和路,22.415046,120.552125,郵局,📮,屏東縣,佳冬村
195238,滿州郵局,22.01808,120.83785,郵局,📮,屏東縣,滿州村
195239,舊庄39巷,22.1985,120.69058,郵局,📮,屏東縣,楓港村
195240,里港三和路郵局,22.80992,120.50277,郵局,📮,屏東縣,三廍村
195241,南興路1巷,22.4857,120.459722,郵局,📮,屏東縣,中洲村
195242,屏東頭前溪郵局,22.64841,120.46466,郵局,📮,屏東縣,前進里
195243,東山路,22.591097,120.630655,郵局,📮,屏東縣,赤山村
195335,文化三路,22.415284,120.55272,圖書館,📚,屏東縣,佳冬村
195337,復興路86巷,22.676341,120.530843,郵局,📮,屏東縣,進興村
195345,萬巒郵局,22.57111,120.56581,郵局,📮,屏東縣,萬巒村
195346,光明路,22.620919,120.524884,郵局,📮,屏東縣,西勢村
195349,彭厝路,22.742609,120.556567,郵局,📮,屏東縣,新二村
195350,中山路,22.652661,120.524107,郵局,📮,屏東縣,麟洛
195355,郵局,22.369676,120.624047,郵局,📮,屏東縣,春日村
195356,廣東路954巷9弄,22.688484,120.485857,郵局,📮,屏東縣,勝利里
195358,中山南路,22.772181,120.49449,郵局,📮,屏東縣,春林村
195360,中正路二段63巷,22.715234,120.653047,郵局,📮,屏東縣,三地村
195363,民權路48巷,22.3854,120.595899,郵局,📮,屏東縣,人和村
